Cell Names,Date String,Tower Name,Zip,Attempted,Completed,Dropped,Dropped Call Percentage,F1,Number of Records
Fallacy,10/04/2015 01:00,Leaffson,603,1,1,0,0,2242,1
KTV 2,10/04/2015 01:00,Eastower,603,1,1,0,0,2193,1
KTV 2,10/04/2015 01:00,Clown Castle,603,1,1,0,0,2471,1
KTV 2,10/04/2015 01:00,Clown Castle,603,1,1,0,0,1423,1
Fallacy,10/04/2015 01:01,Eastower,603,1,1,0,0,3243,1
Fallacy,10/04/2015 01:01,Reflector Pond,603,1,1,0,0,3113,1
Shaver,10/04/2015 01:01,Leaffson,603,1,1,0,0,2912,1
KTV 2,10/04/2015 01:02,Leaffson,603,1,1,0,0,1067,1
Rumia,10/04/2015 01:02,Reflector Pond,603,1,1,0,0,1334,1
Rumia,10/04/2015 01:02,Reflector Pond,603,1,1,0,0,1337,1
Rexus,10/04/2015 01:03,Reflector Pond,603,1,1,0,0,1221,1
Rexus,10/04/2015 01:04,Reflector Pond,602,1,1,0,0,236,1
KTV 2,10/04/2015 01:04,Leaffson,603,1,1,0,0,2961,1
Rexus,10/04/2015 01:05,Reflector Pond,602,1,1,0,0,745,1
KTV 2,10/04/2015 01:05,Eastower,603,1,1,0,0,1299,1
Fallacy,10/04/2015 01:07,GLU,602,1,1,0,0,91,1
KTV 2,10/04/2015 01:07,Reflector Pond,602,1,1,0,0,116,1
Rexus,10/04/2015 01:07,Clown Castle,603,1,1,0,0,3144,1
KTV 2,10/04/2015 01:07,Leaffson,603,1,1,0,0,2473,1
Shaver,10/04/2015 01:08,Leaffson,603,1,1,0,0,3133,1
Rexus,10/04/2015 01:08,Leaffson,610,1,1,0,0,4203,1
KTV 2,10/04/2015 01:09,Clown Castle,602,1,1,0,0,306,1
Shaver,10/04/2015 01:09,Reflector Pond,602,1,1,0,0,48,1
Iclone,10/04/2015 01:10,Leaffson,603,1,1,0,0,2389,1
KTV 2,10/04/2015 01:12,Reflector Pond,603,1,1,0,0,2526,1
Shaver,10/04/2015 01:12,Eastower,603,1,1,0,0,1249,1
KTV 2,10/04/2015 01:14,Reflector Pond,602,1,1,0,0,549,1
Rexus,10/04/2015 01:14,Eastower,603,1,1,0,0,2624,1
KTV 2,10/04/2015 01:15,Eastower,603,1,1,0,0,2101,1
KTV 2,10/04/2015 01:15,Reflector Pond,606,1,1,0,0,3937,1
KTV 2,10/04/2015 01:16,Clown Castle,603,1,1,0,0,3737,1
Fallacy,10/04/2015 01:16,Leaffson,604,1,1,0,0,3807,1
Rexus,10/04/2015 01:17,Leaffson,603,1,1,0,0,1810,1
Shaver,10/04/2015 01:18,Reflector Pond,602,1,1,0,0,425,1
Fallacy,10/04/2015 01:18,Clown Castle,603,1,1,0,0,3613,1
Fallacy,10/04/2015 01:19,Reflector Pond,603,1,1,0,0,1643,1
Fallacy,10/04/2015 01:21,Reflector Pond,603,1,1,0,0,1137,1
Rumia,10/04/2015 01:22,Leaffson,602,1,1,0,0,873,1
Rexus,10/04/2015 01:22,Leaffson,603,1,0,1,1,2088,1
Rumia,10/04/2015 01:23,Clown Castle,602,1,1,0,0,699,1
Fallacy,10/04/2015 01:23,Eastower,603,1,1,0,0,1855,1
Fallacy,10/04/2015 01:23,Clown Castle,603,1,1,0,0,3164,1
Rumia,10/04/2015 01:23,Eastower,603,1,0,1,1,983,1
Rexus,10/04/2015 01:24,GLU,603,1,1,0,0,3632,1
Rexus,10/04/2015 01:26,Clown Castle,602,1,1,0,0,263,1
Fallacy,10/04/2015 01:28,Leaffson,603,1,1,0,0,2628,1
Rumia,10/04/2015 01:28,Leaffson,603,1,0,1,1,1698,1
Rumia,10/04/2015 01:28,Leaffson,603,1,1,0,0,2439,1
Rumia,10/04/2015 01:30,Clown Castle,602,1,1,0,0,38,1
Rexus,10/04/2015 01:30,Eastower,603,1,1,0,0,2239,1
Shaver,10/04/2015 01:30,Reflector Pond,603,1,1,0,0,2129,1
Rexus,10/04/2015 01:31,Eastower,603,1,1,0,0,3166,1
KTV 2,10/04/2015 01:31,Leaffson,603,1,1,0,0,1461,1
Rumia,10/04/2015 01:31,Reflector Pond,603,1,1,0,0,3091,1
Rumia,10/04/2015 01:32,Eastower,602,1,1,0,0,507,1
Rexus,10/04/2015 01:32,Eastower,603,1,1,0,0,2637,1
KTV 2,10/04/2015 01:32,Reflector Pond,603,1,1,0,0,1935,1
Rexus,10/04/2015 01:33,Eastower,603,1,0,1,1,3461,1
Shaver,10/04/2015 01:33,Clown Castle,603,1,1,0,0,1444,1
Rumia,10/04/2015 01:34,GLU,603,1,1,0,0,2590,1
KTV 2,10/04/2015 01:34,Reflector Pond,606,1,1,0,0,3861,1
Iclone,10/04/2015 01:36,Eastower,602,1,0,1,1,533,1
Shaver,10/04/2015 01:36,Reflector Pond,603,1,1,0,0,2525,1
KTV 2,10/04/2015 01:37,Leaffson,603,1,0,1,1,1272,1
Rumia,10/04/2015 01:37,Leaffson,603,1,1,0,0,2197,1
